SeqId,SomaId,Target Name,Target Full Name,UniProt ID,Type,Organism,Dilution,Apparent Kd (M),LoDB (RFU),Signal To Noise Plasma,Intra-Plate CV Plasma,Inter-Plate CV Plasma,Total CV Plasma,Correlation Plasma,F-Statistic Plasma,Lower 95% Normal Plasma (RFU),Median Normal Plasma (RFU),Upper 95% Normal Plasma (RFU),Signal To Noise Serum,Intra-Plate CV Serum,Inter-Plate CV Serum,Total CV Serum,Correlation Serum,F-Statistic Serum,Lower 95% Normal Serum (RFU),Median Normal Serum (RFU),Upper 95% Normal Serum (RFU),Characterization Info,Orthogonal Strategies,MRM-MS Data,DDA-MS Data,Genetic Strategies,Entrez Gene Name,Entrez Gene ID,Ensembl Gene ID,HGNC ID,SELEX Target Name,SELEX UniProt ID,Serum Scalar v4.0 to v4.1,Serum Lin's CCC,Plasma Scalar v4.0 to v4.1,Plasma Lin's CCC
10021-1,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,Protein,Mouse,20%,,80,7.257,0.047,0.045,0.065,0.826,107.153,529,765,1457,26.447,0.023,0.02,0.031,0.976,23.833,1163,1520,2109,,,,,,Igh,,,,SUSD2,Q9UGT4,2.183,0.916,1.126,0.901
10022-207,SL019229,POLH,DNA polymerase eta,Q9Y253,Protein,Human,20%,2.34E-11,44,3.353,0.044,0.022,0.05,0.901,23.792,126,179,528,4.597,0.03,0.038,0.048,0.903,1091.514,143,177,465,,,,,,POLH,5429,ENSG00000170734,HGNC:9181,,,1.58,0.958,1.028,0.954
10023-32,SL004071,VDR,Vitamin D3 receptor,P11473,Protein,Human,20%,3.01E-11,46,8.719,0.136,0.058,0.147,0.606,1.799,204,472,730,21.99,0.101,0.058,0.116,0.687,2.136,507,824,1057,,,,,,VDR,7421,ENSG00000111424,HGNC:12679,,,2.008,0.691,1.162,0.481
10024-44,SL019235,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",Q86XE5,Protein,Human,20%,3.34E-11,81,7.613,0.045,0.055,0.071,0.872,10.948,602,780,1272,19.859,0.022,0.018,0.028,0.897,86.854,956,1181,1728,,,,,,HOGA1,112817,ENSG00000241935,HGNC:25155,,,1.187,0.963,0.757,0.932
10030-8,SL006373,MutY homolog,Adenine DNA glycosylase,Q9UIF7,Protein,Human,20%,5.12E-12,46,2.937,0.024,0.024,0.034,0.907,59.339,125,164,846,4.975,0.026,0.017,0.03,0.884,61.601,147,180,740,,,,,,MUTYH,4595,ENSG00000132781,HGNC:7527,,,1.323,0.899,0.881,0.913
10034-16,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,Protein,Mouse,20%,,74,22.898,0.045,0.047,0.066,0.908,22.787,1557,2560,4009,29.496,0.034,0.041,0.053,0.619,4.497,1547,2159,3024,,,,,,Igh,,,,FRK,P42685,1.189,0.816,1.279,0.755
10035-6,SL007389,DUS4,Dual specificity protein phosphatase 4,Q13115,Protein,Human,20%,2.03E-11,66,6.479,0.036,0.033,0.049,0.681,1.988,451,561,849,13.011,0.034,0.027,0.043,0.743,3.348,597,705,929,,,,,,DUSP4,1846,ENSG00000120875,HGNC:3070,,,1.446,0.855,0.911,0.889
10036-201,SL019252,ZHX3,Zinc fingers and homeoboxes protein 3,Q9H4I2,Protein,Human,0.5%,4.11E-10,68,45.564,0.031,0.034,0.046,0.873,12.955,2272,3205,4466,83.843,0.027,0.017,0.032,0.913,34.781,4708,5970,7350,,,,30072576,,ZHX3,23051,ENSG00000174306,HGNC:15935,,,1.068,0.78,0.735,0.671
10037-98,SL025986,SIG12:Ig-like V-type 2,"Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long",Q96PQ1,Protein,Human,20%,4.45E-12,27,5.181,0.046,0.03,0.055,0.933,68.343,125,173,484,10.369,0.055,0.038,0.067,0.928,21.406,181,228,500,,,,,29875488|30072576,SIGLEC12,89858,ENSG00000254521,HGNC:15482,,,2.771,0.817,1.256,0.914
10040-63,SL007662,P73L,Tumor protein 63,Q9H3D4,Protein,Human,20%,4.36E-11,81,3.878,0.037,0.052,0.064,0.959,49.362,303,402,1832,7.287,0.022,0.048,0.053,0.879,3.625,373,443,2321,,,,,,TP63,8626,ENSG00000073282,HGNC:15979,,,1.631,0.971,1.071,0.947
10041-3,SL007226,HNF4A,Hepatocyte nuclear factor 4-alpha,P41235,Protein,Human,0.5%,6.65E-11,79,380.053,0.05,0.04,0.064,0.938,5.33,31051,45597,67550,494.723,0.047,0.03,0.056,0.739,5.754,24746,36644,48328,,,,,,HNF4A,3172,ENSG00000101076,HGNC:5024,,,0.798,0.813,0.601,0.803
10042-8,SL015131,SGK3,Serine/threonine-protein kinase Sgk3,Q96BR1,Protein,Human,20%,3.19E-12,216,3.279,0.028,0.028,0.04,0.805,6.176,783,1015,1674,6.426,0.015,0.019,0.024,0.866,7.492,915,1049,1484,,,,30072576,,SGK3,100533105,ENSG00000104205,HGNC:10812,,,1.45,0.654,0.91,0.811
10043-31,SL019249,BRD4,Bromodomain-containing protein 4,O60885,Protein,Human,20%,1.87E-10,118,3.434,0.016,0.022,0.027,0.711,22.865,451,588,1110,7.215,0.018,0.014,0.023,0.913,25.5,531,612,890,,,,,,BRD4,23476,ENSG00000141867,HGNC:13575,,,1.506,0.739,1.004,0.744
10044-12,SL012823,WN10A,Protein Wnt-10a,Q9GZT5,Protein,Human,20%,3.18E-11,20,28.854,0.307,0.187,0.36,0.388,0.791,176,727,1511,116.577,0.255,0.183,0.314,0.503,1.139,681,1882,2877,,,,,,WNT10A,80326,ENSG00000135925,HGNC:13829,,,1.776,0.372,1.009,0.195
10045-47,SL010989,CUL3,Cullin-3,Q13618,Protein,Human,20%,1.78E-11,66,11.361,0.049,0.03,0.058,0.942,24.99,477,1047,1772,8.766,0.051,0.034,0.061,0.684,2.473,371,475,655,,,,,,CUL3,8452,ENSG00000036257,HGNC:2553,,,1.392,0.875,0.964,0.902
10046-55,SL003727,cIAP-1,Baculoviral IAP repeat-containing protein 2,Q13490,Protein,Human,20%,9.55E-11,138,5.793,0.027,0.029,0.04,0.96,346.995,854,1338,3881,10.832,0.013,0.019,0.023,0.869,270.37,930,1053,3049,,,,,,BIRC2,329,ENSG00000110330,HGNC:590,,,1.237,0.928,0.805,0.864
10047-12,SL004553,NCF-2,Neutrophil cytosol factor 2,P19878,Protein,Human,0.5%,4.09E-12,70,5.172,0.02,0.067,0.07,0.845,0.271,374,512,981,10.677,0.043,0.039,0.058,0.85,0.908,600,743,1164,,,,,,NCF2,4688,ENSG00000116701,HGNC:7661,,,1.357,0.812,0.946,0.575
10048-7,SL011998,PEBB,Core-binding factor subunit beta,Q13951,Protein,Human,20%,2.02E-11,90,12.84,0.017,0.026,0.031,0.801,18.174,1321,1581,2154,18.565,0.015,0.015,0.021,0.887,10.33,1212,1360,2086,,,,,,CBFB,865,ENSG00000067955,HGNC:1539,,,1.216,0.902,0.822,0.863
10049-112,SL019242,TERF1,Telomeric repeat-binding factor 1,P54274,Protein,Human,20%,3.82E-11,101,4.034,0.02,0.015,0.025,0.861,35.966,413,474,716,7.679,0.016,0.01,0.019,0.815,13.397,525,582,774,,,,,,TERF1,7013,ENSG00000147601,HGNC:11728,,,1.336,0.905,0.95,0.865
10053-5,SL004474,ILK1,Integrin-linked protein kinase,Q13418,Protein,Human,20%,1.04E-11,25,318.678,0.032,0.053,0.062,0.955,45.266,3440,21483,39034,108.704,0.048,0.043,0.064,0.941,1.766,947,1788,4347,,,,,,ILK,3611,ENSG00000166333,HGNC:6040,,,1.513,0.946,1.042,0.907
10054-3,SL019232,GAN,Gigaxonin,Q9H2C0,Protein,Human,20%,2.21E-10,25,10.229,0.028,0.014,0.031,0.921,261.589,270,326,2197,26.936,0.017,0.013,0.022,0.925,24.548,438,525,2170,,,,,,GAN,8139,ENSG00000261609,HGNC:4137,,,1.514,0.956,1.003,0.943
10056-5,SL007372,FOXM1,Forkhead box protein M1,Q08050,Protein,Human,20%,5.91E-12,60,30.193,0.019,0.014,0.023,0.963,61.827,1080,4247,9737,17.045,0.016,0.02,0.026,0.947,50.527,681,923,1575,,,,,,FOXM1,2305,ENSG00000111206,HGNC:3818,,,0.88,0.831,0.331,0.88
10058-1,SL013796,RD23A,UV excision repair protein RAD23 homolog A,P54725,Protein,Human,20%,3.12E-12,51,207.074,0.065,0.046,0.079,0.886,26.748,8182,18913,32055,134.022,0.048,0.029,0.056,0.86,2.668,4252,6172,12826,,,,,,RAD23A,5886,ENSG00000179262,HGNC:9812,,,1.251,0.938,0.753,0.88
10063-10,SL019237,FANCL,E3 ubiquitin-protein ligase FANCL,Q9NW38,Protein,Human,20%,2.33E-10,84,4.373,0.04,0.034,0.053,0.795,4.706,391,474,820,9.678,0.023,0.015,0.028,0.823,8.273,512,605,805,,,,,,FANCL,55120,ENSG00000115392,HGNC:20748,,,1.256,0.877,0.774,0.872
10064-12,SL011550,RBBP9,Putative hydrolase RBBP9,O75884,Protein,Human,0.5%,1.62E-10,102,12.116,0.012,0.012,0.017,0.941,107.285,1305,1517,1848,31.328,0.017,0.011,0.02,0.933,8.107,2362,2886,3362,,,,,,RBBP9,10741,ENSG00000089050,HGNC:9892,,,1.039,0.818,0.881,0.494
10070-22,SL016406,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",P16885,Protein,Human,20%,5.7E-12,78,11.075,0.019,0.015,0.024,0.956,45.022,617,2082,4906,12.069,0.02,0.026,0.033,0.944,47.612,622,882,1459,,,,,30072576,PLCG2,5336,ENSG00000197943,HGNC:9066,,,1.401,0.914,0.769,0.902
10073-22,SL011411,TYDP1,Tyrosyl-DNA phosphodiesterase 1,Q9NUW8,Protein,Human,20%,7.09E-13,104,4.749,0.061,0.03,0.068,0.703,42.83,498,735,1303,7.466,0.019,0.016,0.024,0.817,10.879,516,625,971,,,,,,TDP1,55775,ENSG00000042088,HGNC:18884,,,2.136,0.911,1.264,0.86
10074-128,SL014748,BRD2,Bromodomain-containing protein 2,P25440,Protein,Human,20%,4.35E-12,138,3.998,0.042,0.046,0.062,0.701,110.485,542,680,1249,9.788,0.019,0.015,0.025,0.772,1.352,902,1072,1445,No binding was observed with Bromodomain-containing protein 3.,,,,,BRD2,6046,ENSG00000204256|ENSG00000235307|ENSG00000234507|ENSG00000234704|ENSG00000215077,HGNC:1103,,,1.68,0.859,1.098,0.866
10075-75,SL019254,ACBD6,Acyl-CoA-binding domain-containing protein 6,Q9BR61,Protein,Human,20%,2.57E-12,25,11.185,0.04,0.037,0.054,0.956,21.144,170,892,2500,7.586,0.043,0.084,0.095,0.903,5.286,124,157,229,No closely related human proteins were available for specificity testing.,,,,,ACBD6,84320,ENSG00000230124,HGNC:23339,,,1.409,0.902,1.241,0.917
10076-1,SL019225,AP4M1,AP-4 complex subunit mu-1,O00189,Protein,Human,20%,9.29E-12,141,10.02,0.034,0.034,0.049,0.943,91.751,959,1736,4099,11.422,0.01,0.027,0.029,0.865,12.517,1007,1189,1516,,,,,,AP4M1,9179,ENSG00000221838,HGNC:574,,,1.433,0.838,0.929,0.864
10078-5,SL007063,BAG3,BAG family molecular chaperone regulator 3,O95817,Protein,Human,20%,2.48E-11,107,4.62,0.057,0.039,0.069,0.614,7.085,458,637,841,7.518,0.066,0.04,0.077,0.233,1.415,506,667,868,,,,,,BAG3,9531,ENSG00000151929,HGNC:939,,,1.574,0.689,1.029,0.734
10080-9,SL019240,EI2BA,Translation initiation factor eIF-2B subunit alpha,Q14232,Protein,Human,20%,2.87E-12,31,38.811,0.025,0.039,0.046,0.967,63.916,662,3440,7828,19.232,0.063,0.069,0.093,0.88,0.918,356,528,1200,,,,,,EIF2B1,1967,ENSG00000111361,HGNC:3257,,,0.888,0.931,0.41,0.896
10081-17,SL019243,SATB2,DNA-binding protein SATB2,Q9UPW6,Protein,Human,20%,5.99E-12,50,8.303,0.107,0.084,0.137,0.668,2.616,275,499,953,12.591,0.107,0.061,0.123,0.196,1.055,349,557,782,,,,,,SATB2,23314,ENSG00000119042,HGNC:21637,,,1.618,0.535,1.033,0.569
10082-251,SL019251,NFL,Neurofilament light polypeptide,P07196,Protein,Human,0.5%,1.95E-12,89,7.653,0.054,0.036,0.065,0.958,30.791,437,889,2082,41.669,0.035,0.021,0.041,0.943,7.332,2679,3759,5002,,,,,,NEFL,4747,ENSG00000277586,HGNC:7739,,,1.058,0.904,0.637,0.844
10085-25,SL001714,STAR,"Steroidogenic acute regulatory protein, mitochondrial",P49675,Protein,Human,0.5%,3.47E-11,58,20.319,0.024,0.028,0.037,0.902,8.674,1224,1563,2203,42.466,0.021,0.018,0.027,0.786,2.592,2202,2669,3136,,,,,,STAR,6770,ENSG00000147465,HGNC:11359,,,0.881,0.796,0.782,0.688
10086-39,SL018882,CBS,Cystathionine beta-synthase,P35520,Protein,Human,20%,3.9E-11,89,13.085,0.024,0.021,0.032,0.911,31.045,1153,1500,3328,25.449,0.016,0.019,0.024,0.873,3.874,1583,1867,3437,,,,,,CBS,102724560,ENSG00000160200,HGNC:1550,,,1.364,0.945,0.845,0.919
10087-10,SL003675,Alpha crystallin A chain,Alpha-crystallin A chain,P02489,Protein,Human,20%,6E-11,78,4.431,0.027,0.064,0.069,0.912,4.331,295,375,641,8.476,0.019,0.018,0.026,0.831,43.484,401,468,694,,,,,,CRYAA,102724652,ENSG00000160202,HGNC:2388,,,1.205,0.936,0.874,0.925
10088-37,SL008014,APT,Adenine phosphoribosyltransferase,P07741,Protein,Human,20%,1.48E-11,80,54.998,0.035,0.071,0.079,0.956,64.239,1363,10240,25177,10.269,0.038,0.053,0.065,0.899,91.573,288,521,922,,,,30072576,,APRT,353,ENSG00000198931,HGNC:626,,,1.021,0.953,0.657,0.933
10089-7,SL019244,ASML,N-acetylserotonin O-methyltransferase-like protein,O95671,Protein,Human,20%,4.41E-12,70,7.169,0.033,0.024,0.04,0.937,36.592,396,948,2666,8.091,0.026,0.023,0.035,0.803,6.696,381,433,824,,,,,,ASMTL,8623,ENSG00000169093,HGNC:751,,,1.483,0.943,0.876,0.923
10336-3,SL019100,CHIP,E3 ubiquitin-protein ligase CHIP,Q9UNE7,Protein,Human,20%,3.43E-11,47,14.518,0.14,0.08,0.161,0.76,5.046,295,1494,3763,8.344,0.181,0.089,0.202,0.473,0.954,219,395,1713,No closely related human proteins were available for specificity testing.,,,,,STUB1,10273,ENSG00000103266,HGNC:11427,,,1.471,0.94,1.19,0.876
10339-48,SL001731,NSE,Gamma-enolase,P09104,Protein,Human,20%,1.69E-10,108,84.065,0.031,0.035,0.047,0.712,11.829,8661,15950,29366,27.217,0.036,0.043,0.056,0.639,3.803,2213,4282,9007,No binding was observed with Beta-enolase or Alpha-enolase.,,,,,ENO2,2026,ENSG00000111674,HGNC:3353,,,1.267,0.679,0.623,0.781
10342-55,SL019096,PIAS4,E3 SUMO-protein ligase PIAS4,Q8N2W9,Protein,Human,20%,9.37E-11,52,5.732,0.211,0.099,0.233,0.288,0.805,107,340,536,10.478,0.211,0.123,0.244,0.577,1.187,197,499,732,No closely related human proteins were available for specificity testing.,,,,,PIAS4,51588,,HGNC:17002,,,1.797,0.533,1.014,0.472
10344-334,SL005173,IL-10 Ra,Interleukin-10 receptor subunit alpha,Q13651,Protein,Human,20%,1.75E-10,96,26.271,0.095,0.082,0.125,0.768,5.406,2030,3367,5639,27.485,0.048,0.039,0.062,0.484,2.238,1690,2315,3477,No closely related human proteins were available for specificity testing.,,,,,IL10RA,3587,ENSG00000110324,HGNC:5964,,,1.098,0.686,0.946,0.604
10346-5,SL007221,STAT3,Signal transducer and activator of transcription 3,P40763,Protein,Human,20%,9.46E-12,94,180.25,0.026,0.029,0.039,0.944,79.752,7692,34295,63250,84.806,0.026,0.022,0.034,0.875,45.779,4784,7512,13759,No binding was observed with Signal transducer and activator of transcription 4 or Signal transducer and activator of transcription 1-alpha/beta.,30984137|31000695,,,30072576,STAT3,6774,ENSG00000168610,HGNC:11364,,,1.241,0.951,0.84,0.915
10356-21,SL000455,c-Jun,Transcription factor AP-1,P05412,Protein,Human,20%,3.3E-10,128,8.948,0.095,0.112,0.147,0.766,5.218,920,1566,2280,21.056,0.035,0.028,0.045,0.886,22.355,1606,2228,2900,Under Investigation,,,,,JUN,3725,ENSG00000177606,HGNC:6204,,,1.317,0.775,0.779,0.604
10361-25,SL014684,OAS1,2'-5'-oligoadenylate synthase 1,P00973,Protein,Human,20%,3.5E-12,99,3.203,0.055,0.045,0.071,0.845,13.655,321,391,1560,8.234,0.02,0.027,0.034,0.814,10.677,484,584,1363,No closely related human proteins were available for specificity testing.,,,,30072576|29875488,OAS1,4938,ENSG00000089127,HGNC:8086,,,1.443,0.941,1.106,0.922
10362-35,SL002565,c-Myc,Myc proto-oncogene protein,P01106,Protein,Human,20%,2.8E-11,56,4.681,0.064,0.068,0.093,0.86,120.036,289,345,910,18.599,0.014,0.015,0.02,0.927,54.459,535,712,1332,No closely related human proteins were available for specificity testing.,,,,,MYC,4609,ENSG00000136997,HGNC:7553,,,1.103,0.97,0.894,0.936
10363-13,SL004097,SMAD3,Mothers against decapentaplegic homolog 3,P84022,Protein,Human,20%,1.44E-11,108,68.988,0.065,0.042,0.078,0.955,36.078,2969,10569,20887,43.599,0.048,0.037,0.061,0.896,4.368,3274,4867,6799,Binding was observed with Mothers against decapentaplegic homolog 2 with similar affinity.  No binding was observed with Mothers against decapentaplegic homolog 4.,,,,,SMAD3,4088,ENSG00000166949,HGNC:6769,,,1.38,0.896,0.852,0.908
10364-6,SL004101,SMAD2,Mothers against decapentaplegic homolog 2,Q15796,Protein,Human,20%,2.73E-11,83,53.466,0.029,0.033,0.044,0.964,84.131,1954,9647,21321,24.998,0.019,0.025,0.031,0.949,13.161,1218,1569,2425,Binding was observed with Mothers against decapentaplegic homolog 3 with similar affinity.,,,,,SMAD2,4087,ENSG00000175387,HGNC:6768,,,1.152,0.964,0.782,0.926
10365-132,SL005184,IL-23,Interleukin-23,Q9NPF7|P29460,Protein,Human,20%,1.21E-12,83,8.486,0.017,0.025,0.03,0.953,123.953,638,1028,2553,13.716,0.014,0.015,0.021,0.935,39.094,692,1028,2150,Binding was observed with Interleukin-12 subunit beta and Interleukin-12 with at least 10x weaker affinity.  No binding was observed with Interleukin-6.,29875488,,,29875488,IL23A|IL12B,51561|3593,ENSG00000110944|ENSG00000113302,HGNC:15488|HGNC:5970,,,1.315,0.937,0.825,0.951
10366-11,SL001728,PDGFRA,Platelet-derived growth factor receptor alpha,P16234,Protein,Human,20%,4.66E-11,85,14.79,0.022,0.017,0.028,0.938,16.467,1044,1446,4079,29.096,0.033,0.035,0.048,0.942,0.293,1633,2043,3877,"No binding was observed with Platelet-derived growth factor receptor beta, Mast/stem cell growth factor receptor Kit, Macrophage colony-stimulating factor 1 receptor or Receptor-type tyrosine-protein kinase FLT3.",,,,30072576,PDGFRA,5156,ENSG00000134853,HGNC:8803,,,1.136,0.96,0.767,0.939
10367-62,SL001716,IL-12,Interleukin-12,P29460|P29459,Protein,Human,20%,3.13E-12,34,4.688,0.027,0.018,0.032,0.727,11.43,150,187,406,10.164,0.02,0.022,0.03,0.771,6.687,222,268,429,"No binding was observed with Interleukin-35, Interleukin-12 subunit beta or Interleukin-23.",,,,,IL12B|IL12A,3593|3592,ENSG00000113302|ENSG00000168811,HGNC:5970|HGNC:5969,,,1.211,0.959,0.919,0.935
10370-21,SL004396,STAT1,Signal transducer and activator of transcription 1-alpha/beta,P42224,Protein,Human,20%,4.71E-12,47,29.755,0.032,0.03,0.044,0.953,85.679,762,3476,8107,10.825,0.02,0.033,0.039,0.866,11.896,311,399,734,No binding was observed with Signal transducer and activator of transcription 3 or Signal transducer and activator of transcription 4.,,,,,STAT1,6772,ENSG00000115415,HGNC:11362,,,0.89,0.834,0.292,0.909
10372-18,SL007229,STAT6,Signal transducer and activator of transcription 6,P42226,Protein,Human,20%,2.06E-10,118,42.64,0.021,0.023,0.031,0.917,1279.931,2954,8455,17802,30.444,0.018,0.029,0.034,0.953,2649.799,2249,3106,5567,No binding was observed with Signal transducer and activator of transcription 5B or Signal transducer and activator of transcription 5A.,,,,,STAT6,6778,ENSG00000166888,HGNC:11368,,,1.282,0.963,0.936,0.918
10390-21,SL018971,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,Q9ULT6,Protein,Human,20%,2.45E-12,72,6.256,0.023,0.023,0.032,0.938,177.183,410,718,1667,9.025,0.022,0.021,0.03,0.942,642.834,417,487,1274,No closely related human proteins were available for specificity testing.,,,,,ZNRF3,84133,ENSG00000183579,HGNC:18126,,,1.116,0.936,0.67,0.819
10391-1,SL006803,ANGL3,Angiopoietin-related protein 3,Q9Y5C1,Protein,Human,0.005%,7.62E-13,70,13.399,0.08,0.09,0.12,0.802,4,703,1225,2118,10.61,0.072,0.044,0.084,0.944,6.858,646,1070,1738,No binding was observed with Angiopoietin-related protein 4 or Angiopoietin-2.,29053024,,30072576,30072576,ANGPTL3,27329,ENSG00000132855,HGNC:491,,,1.891,0.772,1.708,0.698
10396-6,SL003755,Mcl-1,Induced myeloid leukemia cell differentiation protein Mcl-1,Q07820,Protein,Human,20%,1.38E-11,13,13.709,0.049,0.035,0.06,0.903,15.499,179,259,805,17.67,0.052,0.033,0.061,0.894,78.678,170,231,582,No closely related human proteins were available for specificity testing.,,,,30072576,MCL1,4170,ENSG00000143384,HGNC:6943,,,1.086,0.948,0.726,0.915
10416-79,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,Protein,Mouse,20%,,109,7.04,0.078,0.089,0.119,0.828,8.514,607,974,2054,14.525,0.026,0.022,0.034,0.63,2.897,930,1225,1807,,,,,,Igh,,,,MT1F,P04733,1.284,0.818,0.923,0.769
10418-36,SL011111,STX12,Syntaxin-12,Q86Y82,Protein,Human,20%,2.92E-11,96,28.448,0.024,0.024,0.034,0.96,103.907,1879,3771,11051,32.217,0.033,0.029,0.044,0.959,17.333,1824,2857,5059,,,,30072576,,STX12,23673,ENSG00000117758,HGNC:11430,,,1.361,0.96,0.917,0.854
10419-1,SL014110,SCAR5,Scavenger receptor class A member 5,Q6ZMJ2,Protein,Human,20%,2.22E-11,76,102.272,0.032,0.023,0.04,0.922,34.09,2879,6597,13138,97.196,0.023,0.017,0.029,0.927,40.661,3638,6644,12363,,,,,29875488|30072576,SCARA5,286133,ENSG00000168079,HGNC:28701,,,1.153,0.962,0.787,0.885
10424-31,SL015264,NPDC1,Neural proliferation differentiation and control protein 1,Q9NQX5,Protein,Human,20%,4.64E-11,15,27.986,0.046,0.048,0.066,0.736,4.733,333,537,1061,47.636,0.025,0.018,0.03,0.72,37.186,483,585,917,,,,,,NPDC1,56654,ENSG00000107281,HGNC:7899,,,1.424,0.777,0.868,0.798
10425-3,SL017972,B4GT5,"Beta-1,4-galactosyltransferase 5",O43286,Protein,Human,20%,8.82E-11,98,4.595,0.027,0.028,0.038,0.861,6.874,466,556,878,12.582,0.018,0.014,0.023,0.929,34.506,770,925,1177,,,,,,B4GALT5,9334,ENSG00000158470,HGNC:928,,,2.382,0.808,1.37,0.769
10426-21,SL018004,GOSR2,Golgi SNAP receptor complex member 2,O14653,Protein,Human,20%,1.18E-11,15,5.843,0.642,0.389,0.751,0.391,0.883,9,120,332,26.978,0.472,0.341,0.583,0.269,0.909,47,256,505,,,,,,GOSR2,9570,ENSG00000108433,HGNC:4431,,,2.05,0.32,1.163,0.229
